Source,Target
recites; that **all duties accruing,the Republic imder this Act
imported into the territory of the Republic,shall be paid
importation,on proper
Customs,to deliver or permit the delivery of any goods
merchandise,to any Consignee
thereon shall first have been paid,the Collector
of the Customs,appointed by such Collector
in accordance,the law in such cases made and provided ; not having
been paid,as aforesaid ; And your petitioner having reason
dise were subject,duty; and that the same were concealed
proceeded,search for the same
dise,packages
by him,in accordance
accordance,Law. And your Petitioner would fiuUier represent
unto your Honor,that conceiving the above mentioned goods
as the Duties,upon the same were not paid
Goods,wares
wares,and merdiandise
before your Honors Court,and respond and answer
by law they are required,do ; And that Judgment be then and there
Van Zandt,LegabÂ£.'&gt;
Leqar6,Van Zandt. &lt;^
6 June 1  1843,
e June 1  1843,
d Undated. See Van Zandt,Jones
Van TtAnnyr,Jones
I have the Honor,enclose you a copy of the letter of Mr Legare
panied the letter of Mr Legare both of which treat in relatfon to ,
to this subject you will perceive from my note in reply,Mr Legare
that I have not commited my Grovt in any manner in relation to ,
the same A copy of my note,Mr Legare dated June 1st is here-
circumstances known,me was a private one and would not likely
be met by the Govt but that the same would be submited by me to ,
your department for its information. I deem it unnecessary,add
any thing further in relation,the petition as its showing is suffi-
enclosed. I did not think it necessary,send a duplicate copy as
b Properly 1Q2. â€¢ Van Zandt,Jones
d The matter omitted here relates,Van Zandt's salary.
the letters alluded to.**) ,
[Inclosed is a copy of Van Zandt,Legar^; June 1 1843
and thirty six,your memorialist Joseph Cooper was applied
General Memucan Hunt,furnish fire arms
to agree,furnish the same and General Hunt handed your memo-
payable at the Bank of America in the City of New York,the
money designed,be raised upon said notes for the benefit of the
to the liquidation of said notes anterior,aU the endorsers who
as,secure the punctual payment of all of said notes
in the aggregate,the sum â€” ^ninety two thousand dollars.
a For these letters,see Raymond
And your memorialist shows that he furnished,General Himt
and thirty four dollars,and he is willing
can be paid what is justly due,him.
ing the account or any of the notes,sue General Hunt in New
has,pay his lawyers a large amount for fees.
Although he has made urgent request of General Htmt,pay or
cause the said amoimt due,him
has been made,the surety General Henderson
age; and will not be able,pay his honest debts unless the above
account be paid,him.
such measures as will secure,your memorialist and his family the
I have the honor,acknowledge the receipt of Mr. Raymond's
letter,this Department
accompanying documents,in relation
Enclosed I send you a copy of the instructions given,Col^ War-
ment was led,believe that he would act immediat^y
object of giving him his powers was,make a diversion through Ms
agency,so as
is in our declared limits) to fall down and form a junfitioik with the ,
Yon will pereieve that the instructions,Col. Warfield in no respect
its sancticm,any act ol Col. Warfield
will forward,Mr. Warfield whenever you can ascertain his locality.
Upon his receipt of the same it will opiate as a notification,him
granted,Mr. Warfldd has been sect him.
I have the honeor,be *
Eve,President of Texas [Houston.] *Â»
Eve,Jones
[Transmitting Eve's letter of recall and his address,President
taking leave of your Government,avail myself of the occasion
express,you assurances of the continued good will of the President
sisting between the two countries,which I pray God may continue to
exist. Were I,stop here Mr. President without expressing my
gratitude for your kindness,and that of the people of Texas
I should do injustice,my own feelings. The courtious
trust,and hope the day is not distant
on that continent,and say
according,the usages of international law
pendence,which I consider
The mercy and humanity displayed on that occasion,a foe that had
never shown either,adds a glorioxis lustre
a A. In,June 10
his gallant companions,be slain in cold blood. He had justly for-
should entitle you,the admiration of posterity.
your climate is fine,the soil equal
population has steadily increased and will continue,increase
ness,to render happy and secure any people. The inteUigence of
not leave a doubt that Texas is destined,take a proud rank amidst
of a large majority of your fellow citizens,preside over the destinies
satisfactory,to your countrymen
Texas abroad,and that you will add
I have the honor,be with great consideration
Jones,Van Zandt
Jones,Van Zandt.*Â»
Since my communication,you of the 10th. Inst.
hostQities on his part,and that he would agree
Texas,and receive Commissioners
Copies of the several documents in relation,this matter
you were instructed,make
in my despatch,you of thÂ« 10th. Instant.
I have the honor,be.
cates the course which this Govt,may have
(Duplicate sent,A. Smith
Murphy,Secretary op State [LeoabÂ£].
Van 25andt,Jones
I have the honor,acknowledge the receipt of ymxr Official
Communications of the 8 and 9th Ultimo. In regard,that portion
a Copied,mutatia mutandit
e Properly 103. See Van Zandt,Jones
of the same which relates,negroes of Mr Bobinson alledged
ing,be the situation as appears from the records of this legation.
Mr Bobertsons statement (which I suppose similar,the one now
made) and requesting the restoration of the two negro slaves,their
injuries,Mr Bobertson and his property. On the 7th October same
that the matter had been refered,the War Department
of whose report was submited,Mr Amory. The Secretary of
belonging,Texas He states that the SSrd Article of the treaty
States could only use persuasive measures with the Indians,procure
would be indemnification by the Grovt,be settled by negotiation
"He further states that [""]in regard",the two negroes if it be found
them,be restored'' He then goes on
1818 Â« which makes it penal,bring hold or sell a slave from any
this act if the negroes belong,Mr Bobertson whether they were
have,be given up and those who brought them into the country and
now hold them would be liable,be prosecuted and
wrong refered,open and upon that account declines admiting
that all the evidence possible should be procured in relation,this
Charge in Texas or communicated,this I^ation Since that time
The United States appear,be willing
seems,have sent the original statement of Mr Robinson and all
the other evidence if there was any,the Secretary of State of the
should be referred,Mr Robinson that he may obtain all the proof
your Department in relation,the same
Acting Secretary of State in reply,my note of the 3d of February
last in relation,the conduct of A M M Upshaw Indian Agent and
only necessary,acknowledge their receipt and advise Mr Legare
that the same was transmitted,my Government for its information.
Texian side has been frequently made,the War Department here
has the power,prevent the sale of whiskey
as will be least detrimental,the public service. I have been gov-
being now absent from the seat of Government I deemed it best to ,
avail myself of the occasion,visit my family during their absence.
I hope,be able
[Inclosed are copies of the following:* Upshaw,Crawford
15 1843,
May 27 1843,
â€¢ Here is omitted a paragraph relating,Van Zandt's salary.
Van Zandt,Legae^.*
Jones,Van Zandt
10th day of February last you were instructed,give
tion,the subject of the annexation of Texas
and authorized on the happening of certain contingences,enter
into some preliminary negotiations in relation,this subject
difficulties with Mexico,the President deems it adviseable
no further action at present in reference,annexation
decided,await the issue of events now in progress
very much simplify the question of the annexation of Texas,the
United States,and if after this event Texas should continue
this annexation,a treaty for the purpose would be more likely to
succeed and,meet with favor from the people of the United States
It being therefore the policy of this government,occupy itself
tenth day of February last above referred,are hereby suspended
fact,him verbally
I have the honor,be
Jones,Van Zandt
I have the honor,acknowledge the receipt of your despatch No
A copy of Mr. Legare's note in reference,the acts of Col. Warfield
was previously forwarded,this Department by Mr. Raymond and
In relation,the petition of Mr. Cooper Gun Maker of New York
for payment of a claim of $2234,for arms etc furnished
same and consequently there can be no obligation on its part,assume
My last communications,you were of the 8th and 16th * of June
I have the honor,be
P. S. Please present my best respect,Mr. Bodisco and
a 102. See Van Zandt,Jones
b Here and after the postscript are omitted paragraphs relating,Van Zandt's salary.
/July 0,1843. See Jones
Van Zandt,Upshur
Van Zandt,Upshur
Van Zandt,Jones
In your despatch of the 22nd. of May last,* I was requested to
to patents; and,forward them by the first safe opportunity to
the use of your Department. Should I not be able,send them by
them,New Orleans
In your despatch of the 1st. of June,I was instructed
nicate,the Grovemment of the United States
necessary steps,afford such redress
I made,Mr. Upshur Secretary of State upon the subject. So soon
The letter of the War Department,Col Warfield
the city,to forward the same
this time,but I supposed the letter most likely
point alluded to. ,
a August 4 1843,
h August 8 1843,
"d Erroneously indorsed ""No. 103."" See Van Zandt",Jones
Enclosed is a copy of my letter,Mr. Upshur of the 4th. inst in
relation,the movements of Col. Warfield upon the border.
In your dispatch of the 15th. of June last,I am instructed
for the present commimicating,the Grovemment of the United
Secretary of State,peruse the whole of this last mentioned dispatch
as it indicates the course,which the Government may yet have to
am gratified,find that the views of the Secretary coincide so well
at present disposed,acknowledge the independence of Texas
acceded,by the President
stantly sought,agitate the people thereby creating confusion
Since my return,the seat of Government
auspicious moment for the United States,to again press their
of our difficulties,with Mexico
have now the honor,be able
of this application^ which I hope will prove highly satisfactory to ,
yourself as well as,His Excellency
instructed,in the name of his Crovemment
Anna,which directed all foreigners taken in arms
put,death. Mr. Thompson is directed
and Mr. Thompson is directed,say
waged by civilized nations,deserves
inhuman treatment,which has been extended
The United States acknowledge the right of Mexico,resubjugate
Texas if she have the ability,but they question her right
war ought,be at once brought
nation,by her ability
by acknowledging her inability,do it â€” that by keeping the question
imdecided she not only evinces her inability,resubjugate Texas
a want of magnanimity by refusing,acknowledge her independence.
as individuals,and that no nation has the right
Instructions,and Mr. Thompson is directed
istration,use every means in their power
between Texas and Mexico; the right,employ force
words,declare way belongs alone
may incline him,peace.
Yours of the 6th. ultimo in relation,Uie subject of annexation has
been received,but I have not thought it proper
Secretary of State,at the pres^it
shall however in a few days make known,him verbally the fact
according,your instructions.
I shall send,Mr. Cooper
tive,his claim against Genl. Hunt.
in relation,the disarming of Col. Snively
relation,this matter
alluded to,which will furnish all the information I have yet obtained
upon the subject.* The subject has doubtless been communicated to ,
and Secretary of War are now absent,I am unable
I deem it unnecessary,offer any comment upon this outrageous
have the honor,be Very Respety
P S. I shall send you a private communication by,nights mail.
[Next follow copies of Van Zandt,Upshur
Zandt,Upshur
Upshub,Van Zandt
Van Zandt,Jones
a A paragnph relating,Van Zandt's salary omitted.
e For both and for the indosure In the first,Hockley
d August 10 1843,
Van Zandt,Jones.Â®
I have the honor herewith,transmit
in reply,my communication
every exertion,obtain full information in regard
said he hoped soon,be able
tion,it.
In a personal interview,day with Mr. Porter Secretary of War
that gentleman did me the kindness,suffer me
enormous outrage. I deem it unnecessary,send you a synopsis
evidently designed,be magnificently eloquent
having already terminated,I think it lumecessary
in relation,it here
Gt)v Butler,late
from him I have learned some facts relative,the contemplated
which it would appear they had been invited,attend at some point
willingness and desire,meet on the waters of Red River on the
their Chickasaw,and Cherokee brothers not
will not come,Birds Fort
should take the lead if possible in inviting them,the meeting.
to make his Government a full party,the contemplated treaty
the Department,to revoke the former instructions and make the
agree,the proposition; if he does
being here and on his way,South Carolina
would it not be better,arrange the whole now and let the necessary
result with great advantage,Texas. Every treaty made with the
mal communication,the Secretary of State upon this subject on
tomorrow,a copy of which
If I can obtain the sanction of this Government,send out some
persons,invite the Indians in
save us at the same time much expence. This I will endeavour to ,
I have the honor,be. Very Respct. Yr Obt. Servt.
[Here follows a copy of Upshur,Van Zandt
(Secretary of War,Secretary of State
The matter seems,have been referred
(Mr. Armstrong,Mr. Crawford.)
as I am informed are these. The Boat was unable,get up for want
of water,and stored the goods on the Texas side
stand that the case has been represented,our Chargfi d 'Affaires in
Texas,and also that a memorial has gone
any control over them. It has been customary for boats,store
employed as packets in carrying freight. I thought it my duty to ,
communicate this affair,you and will give such further information
(Same,Same
a Ab,this date
sent a guard as I learn,protect the public property. The citizens
Give you the news as I hear it,which will doubtless be a complaint to
Van Zandt,Upshur
Derrick,Van Zandt
Commissioner of Indian Affairs [Crawford] to Secretary of ,
Jones,Van Zandt
Raymond,Jones
the kindness,take under his charge 'the blank forms etc of the
a August 16 1843,
c August 18 1843,
Genl. Post Office Department,and has promised
mail,you. Mr. Van Zandt is at Alexandria
his power,bring about a peace between Texas and aU the Indian
tribes,and I think he will be fully empowered
party,a treaty and a guarantor for the* faithful performance of
Mr. Van Zandt has made three communications,your depart-
Will you please present my kindest regards,the President and
Parker,Upshur
Van Zandt,Jones
for Texas. Through his kindness I am enabled,transmit
the census documents alluded,in a former dispatch. They con-
a Aagost 22 1843,
Office has enclosed you by mail all the papers in relation,patents â€”
had sent,your Department. As the facts mentioned are of
absent and will not return for two or three weeks. Previous,the
departure of the Secretary of War,I agreed with him in regard to
letter,the Secretary of State upon this subject
Secretary returns. I have however the honor,inform you
the necessary orders have issued from the War Department,Grov
to start forthwith,invite the Indians in. A deputation of three
persons is,go and they are
presents,induce them
it earUer,but Gov Butler was of opinion that it was best
full time,so as
His Excellency the President will send Commissioners,attend the
Council. It will be necessary,have a Uttle beef and perhaps a
send in some provissions,and presents
The final instructions which are,govern the Commissioners of
the United States have not been given. I do not know,what
to obtain some important evidence in relation,the negroes of Dr
a The letter of Smith,Jones copied Is of date July 31
them,so soon as the Secretary of State returns
therefore that you would do well,inform Dr Robinson
not likely be necessary for him,take any further steps in relation to
I have the honor,be with great
[Next comes a copy of Van Zandt,Upshur
Jones,Elliot
Upshub,Van Zandt
Van Zandt,Upshur
Van 21andt,Upshub.*
Elliot,Jones
Van Zandt,Jones
It has been made known,your Department
had communicated,verbally
b September 4 1813,
e September 7 1843,
d September 14 1843,
e September 14 1843,
/ September 15 1843,
this,I have not thought it proper for me
announcement,him
have fired him anew in regard,it. He has frequently inquired
tration upon this subject; to this,I have always replied
sition was made,Texas
would be acceded to,but could not speak with certainty or authority.
I further said,him
cate,him
the question of the annexation of Texas,the United States
after this event,Texas should continue
treaty for the purpose would be more likely,succeed
our several conversations alluded to,Mr.
I now proceed,submit for your information and consideration
the substance of a conversation had with the Secretary of State,to
day,in relation
an interview. Without waiting,be informed of the object of my
visit,he proceeded in substance
see me,was
Executive on the subject of the anneication of Texas,the United
he was desirous I should immediately communicate this fact,your
Department,in order that should the President of Texas still desire to
immediately clothed with the necessary powers,act upon the
mitted,the next Senate
desirous,act on it as early as practicable. He then stated at
Mr. Tyler's cabinet were not still opposed,the measure
remarked,him
might still desire,make the treaty
make it at tins time nor would he likely be able,do so in time for
me,communicate the fact
be able,make the proposition before the meeting of Congress
be sufficiently authorized,"act at once."" I then told him I wo\dd"
immediately communicate,my Government what he had said
about the matter,and his wi^es in relation
importance,dispatch a special messenger with it
be proper,do so
powers,to act in case the negotiation was proposed on their part
he will carry out the measures indicated or not,is impossible
is hard,know what
were concluded,and submitted
could contribute so much as her annexation,the United States
people,up
lated,advance or promote this object.
course imadvised; facts and circumstances,known
them â€” ^it is not for me,determine what course should be taken by
making the same known,me. And here suffer me
ments determine,attempt the proposed measure
therefore be the wish of the Executive,confer those powers upon
be had at all) to discharge the duty in strict compUance with the ,
of regard I have the honor,be
Van Zandt,Jones
I have the honor,herewith
acknowledging the receipt of the communication above referred to. ,
had here in relation,the contemplated Indian Council. All of
that the necessary steps will be taken,secure a corresponding action
I send you also a copy of my letter,to the Secretary of State
the United States,of the 14th. Inst
written without reflection,I determined
attention,that of the Secretary
which I did on today. After adverting,the case
it,Mr. Upshur requested me
With the testimony which I have produced,the Department
regard,an illicit trade carried on with the wild Indians of Texas
[Inclosed are the following:* Upshur,Van Zandt
1843; Parker,Upshur
18 1843,
receipt of Upshur's note of September 7); Van Zandt,Upshur
Upshur,Mukpht.*
Upshur,Murphy
Murphy,Upshur
Murphy,Upshur
Jones,Van Zandt
I have the honor,acknowledge the receipt of your two des-
all of which are satisfactory,the Department
My last communication,you was of the 20th. of Augt. and was
Abell^ bearer of despatches,Gen Murphy. You will please return
the acknowledgment of my thanks,the Post Master Gren. of the
U. S. Mr. WickUffe and,also
Commissioners on the part of this Govt,to arrange the terms of the
Armistice between Texas and Mexico,with Commissioners
other prisoners are,be at once released by Gen. Santa Anna.
Enclosed herewith I have the honor,transmit you copies of some
conmiunicated,you in a former despatch. The disposition which
will inevitably lead,a breach of the good understanding now
earnest desire and effort of this government,maintain and per-
insult given,this Government in the person of its officer
which it will be proper for you,use in support of this just demand.
the owners by resorting,force
of the government,interpose in their behalf
offices,effect a termination of the war between this country and
a The omiwlon here Indicated Is of a paragraph relating,Van Zandt's salary.
factory,the President. Coming as it does at the moment when
the two countries are about,commence friendly negotiations
John Connor and Jim Shaw was sent,these Indians by the Presi-
to peace,and agreed
at the time of the full moon in December,hold a council for that
purpose. In the mean time they promised,send out runners to
notify the scattered bands of this arrangement and,summon
them,attend at that time and place. They also promised to
cease hostilities,on their own part against Texas and
the others from committing any as far as in their power,do. Should
the United States agree,the proposal you may have made
probably be well,despatch runners immediately
dians of the fact. In order however,give full time for the recip-
rocal action of the two government as well as,consult all the
will consent,the Red River as the point of meeting. There will
not,it is presumed
out and ascertain the views and wishes of the Indians and then to ,
send,a Commissioner
Brazos by the full moon in December If so the council,be held
there might be made introductory,the one proposed
May â€” or perhaps might be dispensed with,and made
become a party and a guarantor,a treaty with the hostile Indians
of the U. States,attend the Indian Council was most acceptable to
United States should agree,send one
ment,communicate with him directly.
Enclosed herewith I have the honor,transmit you a copy of the
Official report,the Department of War and Marine
from any settlement with only five guns,protect them from the
hordes of ruthless savages by whom they were surrounded and to ,
procure by hunting the necessary means,save them from starva-
energetic appeal,the Government of the United States in relation
letter,Brig. Gen. Taylor* this most unheard of outrage upon
missal of these officers,and for ample compensation
Republic of Texas,and according
States Great Britain France and the Netherlands. The right to ,
Rio Grande. Goods,an immense amount have been introduced
the duty of this govemment,interrupt and prevent.
fered to,and upon which principle Capt Cooke appears
in disarming Col Snively,to avail himself of the boundary line be-
tween Texas and the United States being immarked,to occupy all the
to give this government a right upon the same principle,assert a
similar claim,the occupancy of all the territory between Texas
and the Mississippi river â€” an absurdity which if attempted,be
carried into practical effect would necessarily lead,war at once
between the two countries. It is,be hoped that the Government
ultimately lead,an entire subversion of them.
than,recall you
factory redress is not likely,be awarded us you can verbally inform
him that this course will have ultimately,be adopted. You will
however use every persuasive means,obtain justice from the govern-
States,that he will cause
you should first make an informal application,in order
whether the President of the United States would accede,such a
request,or not. If he should consent
and Mr. Bayne will go bn,Kentucky in Octr. or Novr. next
you will please write,Gen. Henderson informing him of the answer
of the President of the United States may make,the request to
deliver up Kenley; and transmit,him also any order
of the issue of any application you may make,the Govt
I have the honor,be with the highest respect
were the proclamation of Houston referred,therein
1843,Jones
prisoners,and the reply
both of which are given below; Houston,Tyler
Gov't,to organize and fit out an expedition for the purpose of inter-
through the territory of the RepubUc,to and from Santa F6 etc.
expressed,â€” ^That is
You are therefore,hereby authorized
not exceeding three hundred men,as you may deem necessary to
corps,mount
and one half of all the spoils taken in honorable warfare,to belong
to the RepubUc and the Government,be at no expense whatever
not,infringe upon the territory of that Govt.
expedition is,retaliate and make reclamation for injuries sustained
Custom House of that District,subject
ment,and the other half will belong
The result of the campaign will be reported,the Government
In my report of 29th June,'' I omitted
Station,to the Arkansas River. When I took up the line of march
ordering the Battallion,march
ing June 30th,a party of men were dispatched
they discovered them,be S Dragoons approaching
b This earlier report,which Is filed with the Army Papers In the State Library
to the encampment,pursued
then dispatched LH. Lovell,my encampment
Com'dg Officer,Capt Cooke
nied L't* L. When I arrived Capt C. requested,see my orders.
come,the conclusion
Dragoons,and that if one of my men attempted
the River,cut the command
advantage. At length he gave me permission,leave with orders
to recross the River,allowing me one hour
the terms,the men. I had proceeded but a short distance
order them,"stack their Arms."" This was done"
clamoured,be received as prisoners of War. I requested Capt
Cooke,receive them as such. He said that **he had made his
put them,death
River leaving ten rifles,107 men. The next morning
ing me,bring over the men
a The errors in this sentence are probably due,mistakes of the copyist
against the hostile Indians and Mexicans,who were supposed
the men,and offered an Escort
pendence M'o. About 50 men took that rout,to whom he gave 3
an escort,unless
could not comply. To this party he allowed five guns,to make their
same time,leave the Territory of the U. States as quick as possible.
express,Capt Chandler
marched,Elmn Creek and encamped. On the 2nd. I dispatched
Elish. C. Simmons and Francis Sharp,spy out the Caravan. They
sent out two men,spy out the Caravan
On the 4th. the Indians again attempted,stampead. They suc-
them,who engaged sixty Indians and killed from 8
men unwilling,pursue the Caravan I resigned the Command.
I have the honor,be. Very respectfully.
I certify the foregoing,be a correct copy of the original on the
Wood,Van Zandt
of Jones,Van Zandt
Â» September 30 1843,
Upshub,Van Zandt
Van Zandt,Jones
On the 18th. ultimo I had the honor,make a communication to
honor,submit for your information
tangible shape,it comes
ready,negotiate a treaty of annexation
more settled,than that of annexation
change in the mind of the Government,as
the question,but that the desire of the Government still was
using every effort,obtain a peace with Mexico
ment,and that the powers will be furnished
tive here,conclude such a treaty. This opinion
I have expressed,the Secretary of State
Â« Oetober 10,IMS. See Van Zandt
Â» Octoberl6 1843,
eminent degree,advance the welfare
I have thought it my duty,dispatch this communication by a
special messenger,in order
the determination of the Government. Having no means,employ
a special agent for this purpose,and moreover
facts which it would be important,be known
touching this matter,all of which are familiar
Secretary of Legation,at my request he has consented
refer you for information in regard,many matters bearing on
sented,this Government
combining,secure the favorable action of the Senate of the United
Parliament,in reply
show the designs of the British Government in regard,the institu-
question,one of vital importance
in Texas,and thereby monopoUzing her growing trade
Oregon,in order
have sufficient members,carry it. Should the treaty be con-
host in itself. It has been told me,and by one entitled
order,prosecute measures
with a fervent wish that his decission may redound,the welfare and
of a Secretary,Mr. Raymond had expressed
early day,to tender
the Government decide,make the treaty of annexation
fest it,Mr. Raymond
It is but due,Mr. Raymond
this occasion,bear testimony
official duties,and while I most cordially commend him
If the Grovemment determine,furnish
I have also the honor herewith,communicate
this letter,I addressed a note
The two statements,between which there appears
variance,contain all I have learned in relation
Unless other testimony be adduced,show his culpabiHty
for the Department,address a communication
with him,pertaining
I have tixe honor,be with the highest sentiments of regard
[Next come copies of the following: Upshur,Van Zandt
16 1843,
Brower,Van Zandt
Van Zandt,Upshur
Van Zandt,Jones
Van Zandt,Jones
I have the honor,acknowledge the receipt on yesterday of your
War and Marine directed,Col Jacob Snively with the report of
require some little time,execute all your instructions
proper first,submit for your consideration some reflections of mine
upon some of the points,which my attention has been directed
b October 19 1843,
Annexed you will find a copy of my reply,Mr Upshnrs note upon
stood,make no intimation of Opinion upon the subject but simply
the determination of the Grovemment. This question app&gt;ears to ,
every prominent man I meet. The opinion of those friendly,the
stances combining,facilitate its ratification. Mr Adams mani-
fests great alarm. In a speech of more than two hours length to ,
hope that before this,you have received my despatches in regard to
The instructions final have been sent,Gov Butler who is Com-
missioner,meet the Indians. I found it impossible
sanction of this Government,conclude such a treaty as would make
commissioner is however directed,use all his powers
of Indian affairs has Ukewise addressed letters,the principal chiefs
of the Cherokee,Choctaw
them not,oppose but
to induce them,conclude a peace with Texas. From the tenor
entirely convenient for our Government. In regard,this I can
the Department may be able,carry out the arrangements
Since the date of my last dispatch,your department I have fre-
collector of Bed Biver. He has universally replied,me that he
had not yet been able,procure all the testimony upon the subject
but that he hoped soon,receive it when he would at once take it
up In your communication now before me I am instructed,make
that the goods had been ordered,be released and communicated
at the same time a copy of those orders. I take this,be the rule
release the property is wrested from his possession and returned to ,
its original possessor,though the party would be liable
affect his title,the property or make him liable for its value at the
equivocal I shall seize the earliest opportunity,make the demand
point in this case,which I call your attention. Col Bourland states
ment I think it will be difficult,identify the officer in any manner
with the outrage. I would therefore suggest,your Department
the propriety of calling on Col Bourland,procure such testimony
as he may be able,obtain touching this particular point and com-
municate the same,me as early as possible Since the date of my
letter,Mr Upshur Secretary of State upon the subject of Dr Rob-
up,the present time I regret
presented and urged many objections,delivering up the negroes
all of which I think I have met successfully not only,my satis-
the subject Mr Upshur said that he would confess,me candidly
that he was convinced that the United States ought,deliver up the
negroes and that he was anxious himself,do so but that the oppo-
unable,procure the sanction of the President
nigh tantamount in its effects,a rejection and a longer procrasti-
nation of the. question could not fail,be viewed by the President
of the United States,avoid the performance of an act manifestly
would do all he could,accord
border difficulties,should be permitted
Texas,cultivate the most friendly relations with the United States
but at the same time I thought nothing could so much contribute to ,
I am gratified,receive your instructions upon the subject of the
demands reperation. I was strongly inclined,act on this matter
I would have had,rely upon newspaper statements which were
uncertain and contradictory I finaUy concluded,await the receipt
of intelligence from your Department in regard,it. I shall imme-
diately make the coAununication,this Grovemment upon the sub-
I will see the President on Monday,(to day being Saturday and
delivery of the refugee Henley ^ and will write,Genl Henderson the
I am exceedingly gratified,find that amidst all our difficulties
of a proper policy find herself again restored,peace and prosperity.
P. S. Please remember me,the President and Gent of the Cabinet
[Next comes a copy of Van Zandt,Upshur
Van Zandt,Upshur
a Here is omitted a paragraph referring,Van Zandt's salary.
&lt;i November 10 1843,
A Gentleman op Texas,Secretary op State [Upshur].**
Upshur,Murphy
Van Zandt,Jones
I have the honor,enclose you a copy of my communication of the
10th Instant,the Hon. A P Upshur Secretary of State of the United
difficulties have arisen and the usual course seems,be
is first somewhat left,the magnanimity of the party who has com-
promptly,vindicate our rights when thus rudely assailed. In con-
nexion with this subject I would submit,your Department whether
we ought not,require of this Government that for the indignity
offered,our flag it should be hoisted in some of the Western Garri-
we ought,require it Some time since I had an interview with the
unable,say what would be the final determination of the President
but promised,advise me at the earliest day possible. I asked him
ous,dispense with his services but that he was at a loss in regard
President in regard,Genl Gains's letter he said that such latitu-
was General Gaines authorized,promulgate them In regard to
perplexing one and he was at a loss,know what
Texian Government,know and that by an official declaration
ment will attempt,stave off this matter at present as [it did] the
answer soon I shall deem it my duty,urge their consideration in the
favor,though some are very hostile
of members of Congress friendly,it is that if the treaty is concluded
President wiU not (as has been expected here) allude,it in his
Mr Fox the British Minister is,be recalled Mr Packenham
formerly Minister at Mexico is,succeed him
the Globe of this city is making ready,wield its mighty force on
party are trying,bring him over
Clay could eflfect this object,but I fear he will be disposed
I expect,send this by a Gentleman who leaves in a day or two
as bearer of dispatches,Genl Murphy.
[Inclosed is a copy of Van Zandt,Upshur
Murphy,Jones
Government of the RepubUc of Texas,has
duty of communicating,you
(copies of which,will be furnished
intoxicating Liquors,the deceased and another Choctaw Indian
the back part of the Head,the front Temple
To you sir,or
States,near the scene of murder
indiscriminate slaughter of the first victims that chanced,fall in
This vigelance and prompt action,of our officers
say,was instantly put in operation
derer,punishment
should be promptly submitted,the authorities of the Grovemment
the offender,be arrested
is the object of the communication now made,you.
ment of the United States,assiduously endeavours
only their own,but oftimes extending that guard
that most of the evils resulting,our western and border setlers
cruel and wicked practice,of retailing Sperituous Liquors
ernment of Texas,in suppressing a traffic
That the joint efforts of both governments,to suppress the sale of
sperituous Liquors by the citizens of either country,to the Indians
and their mutual efforts,to punish all crimes committed against the
a national duty,if persevered in
effectually,bring Mr. Albon
permit myself,question. Whatever other
far as it is in the power of the undersigned,impart it.
the Honor,be â€” Sir
Jones,Van Zandt
cially directed by him,communicate
making a reply,the note above refered to.
of Mexico's agreeing,acknowledge the independence of Texas she
should continue,exist
tirely free,pursue any course she may please in future
be politic,abandon the expectations which now exist of a speedy
other powers for the very uncertain prospect of annexation,the
mated; might be. Were Texas,agree
drawn,and were the Treaty then
evinced by the President of the United States in the offer,conclude
mation which he has been able,obtain in relation
feelings of the people of the United States he is induced,believe
the President deems it most proper and most advantageous,the
interests of this country,to decline the proposition for concluding a
treaty. In making a communication of this determination,the
government of the U States it will be proper,inform that govern-
shall throw wide open the door,annexation by a resolution author-
izing the President of that Country,propose a treaty for the pur-
pose,the proposition will be immediately submitted
sentatives of the people of this country,and promptly responded to
The amendment made,the Treaty negotiated by Mr. Riley
Articles,renders the Treaty unacceptable
As it will be impossible perhaps,obtain for the present a more
will use every proper eflfort in your power,obtain a reconsideration
endeavor,procure a ratification of the treaty
northern Senators particularly,on this subject
acquaintance with the individuals in question,might be able to
likely,be serviceable than our present Consul for the port of New
action of the Senate upon this treaty,which would appear
it desirable,you will request him
above refered,The commercial and general intelligence of Mr.
United States,point him out as a most suitable person
careful enquiries in relation,the conduct of our Consul at New York
as leisure permits address a communication directly,Mr. Brower
this and other subjects In the mean time,I feel it my duty
You will please conmnmicate a copy of the above,that gentleman.
connected with our public interests,which he will comunicate
you,him for much of importance which it is unnecessary I should
In relation,the outrage committed on Mr. Bourland
observe in reply,the remarks in your last
gdvemment of the United States can have no right,claim the goods
by virtue of that order or,refuse payment for them in consequence
of its having been given. It appears,me that the participation of
will please transmit,that gentleman.
ernment is advised that Gen Waddy Thompson U. S. Minister,that
nature,and derogatory
Republic,charging upon him the crime of having endeavored
of a sufficiently authentic character,demand a serious notice
not letters of Gen. Thompson,Mr. Doyle H. B. M. Charg6 d' Affaires
at Mexico,recently published appeared
a view of rendering justice,to the President of the Republic of Texas
Sm,I have the honor
^ Hen la omitted a paragraph relative,Van Zandt's salary.
I offer,you Sir
Upsher,Van Zandt
Van Zandt,Jones
the necessity of giving,the several complaints which we have made
to at once take the necessary steps,accord
faction. He has frequently stated,me his concurence in the opinion
and of his wish,disclaim them on the part of his Government. The
able,satisfy himself in regard
in relation,the outrage upon Col Bourland and the obligation the
United States is under,surrender Dr Robinsons negroes. Li the
Secretary of State and stated,them that a longer delay in regard
